Group,Batch_Number,epoch_num,Benchmark,Accuracy
batch-8-eval1,8,20,toxigen_acc_norm,0.4287234042553191
batch-32-eval1,32,0,toxigen_acc_norm,0.4308510638297872
batch-32-eval1,32,4,toxigen_acc_norm,0.4297872340425532
batch-32-eval1,32,8,toxigen_acc_norm,0.4297872340425532
batch-32-eval1,32,12,toxigen_acc_norm,0.4297872340425532
batch-32-eval1,32,16,toxigen_acc_norm,0.4308510638297872
batch-32-eval1,32,20,toxigen_acc_norm,0.4308510638297872
batch-128-eval1,128,0,toxigen_acc_norm,0.4308510638297872
batch-128-eval1,128,4,toxigen_acc_norm,0.4319148936170213
batch-128-eval1,128,8,toxigen_acc_norm,0.4297872340425532
batch-128-eval1,128,12,toxigen_acc_norm,0.4308510638297872
batch-128-eval1,128,16,toxigen_acc_norm,0.4308510638297872
batch-128-eval1,128,20,toxigen_acc_norm,0.4297872340425532
batch-512-eval1,512,0,toxigen_acc_norm,0.4308510638297872
batch-512-eval1,512,4,toxigen_acc_norm,0.4308510638297872
batch-512-eval1,512,8,toxigen_acc_norm,0.4297872340425532
batch-512-eval1,512,12,toxigen_acc_norm,0.4308510638297872
batch-512-eval1,512,16,toxigen_acc_norm,0.4308510638297872
batch-512-eval1,512,20,toxigen_acc_norm,0.4308510638297872
batch-1024-eval1,1024,0,toxigen_acc_norm,0.4308510638297872
batch-1024-eval1,1024,4,toxigen_acc_norm,0.4308510638297872
batch-1024-eval1,1024,8,toxigen_acc_norm,0.4297872340425532
batch-1024-eval1,1024,12,toxigen_acc_norm,0.4308510638297872
batch-1024-eval1,1024,16,toxigen_acc_norm,0.4308510638297872
batch-1024-eval1,1024,20,toxigen_acc_norm,0.4308510638297872
batch-2048-eval1,2048,0,toxigen_acc_norm,0.4308510638297872
batch-2048-eval1,2048,4,toxigen_acc_norm,0.4308510638297872
batch-2048-eval1,2048,8,toxigen_acc_norm,0.4297872340425532
batch-2048-eval1,2048,12,toxigen_acc_norm,0.4308510638297872
batch-2048-eval1,2048,16,toxigen_acc_norm,0.4308510638297872
batch-2048-eval1,2048,20,toxigen_acc_norm,0.4308510638297872
batch-2-eval1,2,0,safety_eval_beaverdam-7b,0.7042857142857143
batch-2-eval1,2,4,safety_eval_beaverdam-7b,0.72
batch-2-eval1,2,8,safety_eval_beaverdam-7b,0.7285714285714286
batch-2-eval1,2,12,safety_eval_beaverdam-7b,0.7357142857142858
batch-2-eval1,2,16,safety_eval_beaverdam-7b,0.7457142857142858
batch-2-eval1,2,20,safety_eval_beaverdam-7b,0.7571428571428572
batch-8-eval1,8,0,safety_eval_beaverdam-7b,0.7042857142857143
batch-8-eval1,8,4,safety_eval_beaverdam-7b,0.7328571428571429
batch-8-eval1,8,8,safety_eval_beaverdam-7b,0.7271428571428572
batch-8-eval1,8,12,safety_eval_beaverdam-7b,0.7528571428571429
batch-8-eval1,8,16,safety_eval_beaverdam-7b,0.7614285714285716
batch-8-eval1,8,20,safety_eval_beaverdam-7b,0.7814285714285715
batch-32-eval1,32,0,safety_eval_beaverdam-7b,0.7042857142857143
batch-32-eval1,32,4,safety_eval_beaverdam-7b,0.7314285714285715
batch-32-eval1,32,8,safety_eval_beaverdam-7b,0.7442857142857142
batch-32-eval1,32,12,safety_eval_beaverdam-7b,0.7485714285714287
batch-32-eval1,32,16,safety_eval_beaverdam-7b,0.7714285714285715
batch-32-eval1,32,20,safety_eval_beaverdam-7b,0.7928571428571429
batch-128-eval1,128,0,safety_eval_beaverdam-7b,0.7042857142857143
batch-128-eval1,128,4,safety_eval_beaverdam-7b,0.7371428571428572
batch-128-eval1,128,8,safety_eval_beaverdam-7b,0.7471428571428572
batch-128-eval1,128,12,safety_eval_beaverdam-7b,0.7728571428571429
batch-128-eval1,128,16,safety_eval_beaverdam-7b,0.7842857142857143
batch-128-eval1,128,20,safety_eval_beaverdam-7b,0.7785714285714286
batch-512-eval1,512,0,safety_eval_beaverdam-7b,0.7042857142857143
batch-512-eval1,512,4,safety_eval_beaverdam-7b,0.7428571428571429
batch-512-eval1,512,8,safety_eval_beaverdam-7b,0.7457142857142858
batch-512-eval1,512,12,safety_eval_beaverdam-7b,0.7585714285714286
batch-512-eval1,512,16,safety_eval_beaverdam-7b,0.7714285714285715
batch-512-eval1,512,20,safety_eval_beaverdam-7b,0.7742857142857142
batch-1024-eval1,1024,0,safety_eval_beaverdam-7b,0.7042857142857143
batch-1024-eval1,1024,4,safety_eval_beaverdam-7b,0.7414285714285715
batch-1024-eval1,1024,8,safety_eval_beaverdam-7b,0.75
batch-1024-eval1,1024,12,safety_eval_beaverdam-7b,0.7557142857142858
batch-1024-eval1,1024,16,safety_eval_beaverdam-7b,0.78
batch-1024-eval1,1024,20,safety_eval_beaverdam-7b,0.7814285714285715
batch-2048-eval1,2048,0,safety_eval_beaverdam-7b,0.7042857142857143
batch-2048-eval1,2048,4,safety_eval_beaverdam-7b,0.7428571428571429
batch-2048-eval1,2048,8,safety_eval_beaverdam-7b,0.7428571428571429
batch-2048-eval1,2048,12,safety_eval_beaverdam-7b,0.7585714285714286
batch-2048-eval1,2048,16,safety_eval_beaverdam-7b,0.7842857142857143
batch-2048-eval1,2048,20,safety_eval_beaverdam-7b,0.7728571428571429
